time_s,x_tip_m,y_sample_m,s_separation_m,contact_status
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.399999999999999984e-08,0.000000000000000000e+00
1.600000000000000100e-08,3.405941274414541090e-14,0.000000000000000000e+00,2.400003405941274456e-08,0.000000000000000000e+00
3.200000000000000199e-08,1.361661067606726419e-13,0.000000000000000000e+00,2.400013616610676103e-08,0.000000000000000000e+00
4.800000000000000630e-08,3.061113518834013642e-13,0.000000000000000000e+00,2.400030611135188243e-08,0.000000000000000000e+00
6.400000000000000399e-08,5.435514801500126447e-13,0.000000000000000000e+00,2.400054355148015060e-08,0.000000000000000000e+00
8.000000000000000167e-08,8.480084067093889979e-13,0.000000000000000000e+00,2.400084800840670820e-08,0.000000000000000000e+00
9.600000000000001260e-08,1.218870351196916852e-12,0.000000000000000000e+00,2.400121887035119618e-08,0.000000000000000000e+00
1.120000000000000103e-07,1.655392758610522702e-12,0.000000000000000000e+00,2.400165539275861090e-08,0.000000000000000000e+00
1.280000000000000080e-07,2.156699418455769429e-12,0.000000000000000000e+00,2.400215669941845641e-08,0.000000000000000000e+00
1.440000000000000189e-07,2.721783780665448770e-12,0.000000000000000000e+00,2.400272178378066630e-08,0.000000000000000000e+00
1.600000000000000033e-07,3.349510466538075422e-12,0.000000000000000000e+00,2.400334951046653848e-08,0.000000000000000000e+00
1.760000000000000143e-07,4.038616972680859689e-12,0.000000000000000000e+00,2.400403861697268090e-08,0.000000000000000000e+00
1.920000000000000252e-07,4.787715565686423699e-12,0.000000000000000000e+00,2.400478771556568529e-08,0.000000000000000000e+00
2.080000000000000096e-07,5.595295365019041177e-12,0.000000000000000000e+00,2.400559529536501757e-08,0.000000000000000000e+00
2.240000000000000206e-07,6.459724611335868598e-12,0.000000000000000000e+00,2.400645972461133570e-08,0.000000000000000000e+00
2.400000000000000315e-07,7.379253117221751575e-12,0.000000000000000000e+00,2.400737925311722067e-08,0.000000000000000000e+00
2.560000000000000159e-07,8.352014897073117200e-12,0.000000000000000000e+00,2.400835201489707154e-08,0.000000000000000000e+00
2.720000000000000004e-07,9.376030972627422792e-12,0.000000000000000000e+00,2.400937603097262747e-08,0.000000000000000000e+00
2.880000000000000378e-07,1.044921235039999454e-11,0.000000000000000000e+00,2.401044921235040098e-08,0.000000000000000000e+00
3.040000000000000222e-07,1.156936316706010990e-11,0.000000000000000000e+00,2.401156936316705875e-08,0.000000000000000000e+00
3.200000000000000067e-07,1.273418399855311011e-11,0.000000000000000000e+00,2.401273418399855434e-08,0.000000000000000000e+00
3.360000000000000441e-07,1.394127532855557555e-11,0.000000000000000000e+00,2.401394127532855603e-08,0.000000000000000000e+00
3.520000000000000285e-07,1.518814117163625572e-11,0.000000000000000000e+00,2.401518814117163688e-08,0.000000000000000000e+00
3.680000000000000130e-07,1.647219284628696389e-11,0.000000000000000000e+00,2.401647219284628705e-08,0.000000000000000000e+00
3.840000000000000504e-07,1.779075289278512951e-11,0.000000000000000000e+00,2.401779075289278530e-08,0.000000000000000000e+00
4.000000000000000348e-07,1.914105913065355444e-11,0.000000000000000000e+00,2.401914105913065221e-08,0.000000000000000000e+00
4.160000000000000193e-07,2.052026885029321847e-11,0.000000000000000000e+00,2.402052026885029201e-08,0.000000000000000000e+00
4.320000000000000037e-07,2.192546313318216643e-11,0.000000000000000000e+00,2.402192546313318152e-08,0.000000000000000000e+00
4.480000000000000411e-07,2.335365129485756343e-11,0.000000000000000000e+00,2.402335365129485581e-08,0.000000000000000000e+00
4.640000000000000256e-07,2.480177544472947329e-11,0.000000000000000000e+00,2.402480177544472802e-08,0.000000000000000000e+00
4.800000000000000630e-07,2.626671515661361496e-11,0.000000000000000000e+00,2.402626671515661253e-08,0.000000000000000000e+00
4.959999999999999945e-07,2.774529224371690984e-11,0.000000000000000000e+00,2.402774529224371768e-08,0.000000000000000000e+00
5.120000000000000319e-07,2.923427563166387769e-11,0.000000000000000000e+00,2.402923427563166270e-08,0.000000000000000000e+00
5.280000000000000693e-07,3.073038632301428446e-11,0.000000000000000000e+00,2.403073038632301393e-08,0.000000000000000000e+00
5.440000000000000008e-07,3.223030244659300452e-11,0.000000000000000000e+00,2.403223030244659381e-08,0.000000000000000000e+00
5.600000000000000382e-07,3.373066438483196820e-11,0.000000000000000000e+00,2.403373066438483266e-08,0.000000000000000000e+00
5.760000000000000756e-07,3.522807997221154009e-11,0.000000000000000000e+00,2.403522807997221176e-08,0.000000000000000000e+00
